sample_index,EXG_CH0,EXG_CH1,EXG_CH2,EXG_CH3,Accel_X,Accel_Y,Accel_Z,timestamp,marker,time_s
36.0,-3.331951003549163,-15.478440136880074,2.681470892644156,-1.2753681494785165,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.867,0.0,6.355
36.0,-11.337678017895987,-17.377471116845225,0.6771767934697984,-2.657737510509896,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.867,0.0,6.36
37.0,-9.55067526871224,-9.828485059263304,2.0024474614666534,-1.5391024787089767,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.868,0.0,6.365
37.0,-6.158032811141617,-12.16717097119694,-0.9499843881500738,0.9416781946060606,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.868,0.0,6.37
38.0,-8.945618052152385,-15.382029649514077,-2.265842901607493,1.86245204220702,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.897,0.0,6.375
38.0,-6.624854643821807,-12.932120786416537,2.8031666898854866,2.0018434494516275,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.898,0.0,6.38
39.0,-8.91535061137552,-10.925512447839546,-1.7402226729518262,0.1526397253886525,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.899,0.0,6.385
39.0,-12.481338656972104,-12.333439285557567,1.4572519523842633,-0.41815724310753133,-0.0320000015199184,0.9280000440776348,0.4000000189989805,2026-04-16 21:09:35.899,0.0,6.39
40.0,-16.518171212714194,-13.5410236054323,4.3674946698045005,-0.9872918884000265,-0.0320000015199184,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.899,0.0,6.395
40.0,-15.98032297568867,-15.03942703596774,-1.502822110139272,-1.7408484131461468,-0.0320000015199184,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.899,0.0,6.4
41.0,-17.185416597672585,-8.803773942396557,0.33904558480932945,1.3020899201671166,-0.0320000015199184,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.901,0.0,6.405
41.0,-20.108719445659098,-8.542155449907602,2.6375001175927624,0.9975752639190096,-0.0320000015199184,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.901,0.0,6.41
42.0,-19.47112043019662,-11.142663688138306,-0.57840718672296,-0.3593781224026367,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.929,0.0,6.415
42.0,-17.867053811520336,-11.578642974154048,3.291002504554421,0.13707057154925917,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.929,0.0,6.42
43.0,-15.717901926642211,-14.32788278729174,2.6768877990532065,2.0085476855996074,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.929,0.0,6.425
43.0,-15.384809156726796,-12.480832831409707,-3.2396358175514033,2.6120112942199563,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.929,0.0,6.43
44.0,-16.614000002945957,-13.774771836648604,-2.0099502543277747,-0.9050395837853293,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.958,0.0,6.435
44.0,-19.973754999425473,-9.116126117541532,-0.8561329957485251,-4.014451662669773,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.958,0.0,6.44
45.0,-20.683370355429467,-9.663175703786756,-2.543051815414066,-2.3114523996832053,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.959,0.0,6.445
45.0,-19.970059536636168,-10.87313575831921,-2.4730547172352586,0.5073629633705292,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.959,0.0,6.45
46.0,-18.323356699343456,-9.760577355008596,1.7339171363382775,0.4328044343404339,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.987,0.0,6.455
46.0,-21.557212215578822,-10.781230678102197,0.9784125000136865,2.5078270931105218,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.987,0.0,6.46
47.0,-21.14278264079782,-10.393596594269031,-0.39937747652382216,1.33087589310794,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.989,0.0,6.465
47.0,-21.43037271601736,-11.58477876021188,1.5029445560619679,0.2841779454369249,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.989,0.0,6.47
48.0,-21.608319549053775,-8.544685138640062,-0.24051971919092485,-0.18723263619417702,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.990,0.0,6.475
48.0,-19.392971422192126,-11.399349021042944,-1.9666676001476273,-2.477924262735941,-0.0160000007599592,0.9280000440776348,0.4160000197589397,2026-04-16 21:09:35.990,0.0,6.48
